relative_time,BarometerSensor
21317,1021.0404052734375
21397,1021.0147094726562
21436,1020.9777221679688
21517,1020.9700927734375
21597,1020.9271240234375
21636,1020.9349975585938
21717,1020.9259033203125
21797,1020.8939819335938
21837,1020.8967895507812
21918,1020.8710327148438
21997,1020.8523559570312
22037,1020.8060302734375
22117,1020.8043212890625
22196,1020.7866821289062
22236,1020.7800903320312
22317,1020.7688598632812
22399,1020.73779296875
22436,1020.7401733398438
22518,1020.7229614257812
22597,1020.7159423828125
22637,1020.7086791992188
22717,1020.6572875976562
22798,1020.6627807617188
22836,1020.6782836914062
22917,1020.6188354492188
22998,1020.6275024414062
23036,1020.61474609375
23118,1020.6109619140625
23200,1020.595458984375
23236,1020.5786743164062
23318,1020.5778198242188
23397,1020.5488891601562
23437,1020.5465698242188
23518,1020.5142822265625
23599,1020.5087280273438
23636,1020.51806640625
23719,1020.5038452148438
23801,1020.5032348632812
23836,1020.4730224609375
23919,1020.4573364257812
23997,1020.4844970703125
24037,1020.4420166015625
24118,1020.4524536132812
24197,1020.4398803710938
24237,1020.4154663085938
24317,1020.4339599609375
24397,1020.4339599609375
24436,1020.4288330078125
24516,1020.4258422851562
24597,1020.4186401367188
24637,1020.4229125976562
24718,1020.4129028320312
24797,1020.3933715820312
24836,1020.3908081054688
24922,1020.4033203125
24998,1020.4209594726562
25039,1020.382080078125
25116,1020.3992919921875
25197,1020.3816528320312
25236,1020.38232421875
25317,1020.3935546875
25397,1020.4097290039062
25438,1020.3991088867188
25517,1020.3984375
25597,1020.3929443359375
25637,1020.3795166015625
25717,1020.3759155273438
25797,1020.4022827148438
25838,1020.398681640625
25918,1020.380615234375
25997,1020.3931274414062
26037,1020.3890991210938
26116,1020.3836059570312
26197,1020.391845703125
26237,1020.3978271484375
26316,1020.3873901367188
26398,1020.365966796875
26436,1020.3750610351562
26517,1020.3676147460938
26597,1020.3958740234375
26637,1020.4135131835938
26718,1020.382080078125
26797,1020.4143676757812
26836,1020.3782348632812
26917,1020.3865356445312
26997,1020.3956909179688
27037,1020.4014282226562
27117,1020.3991088867188
27197,1020.4088745117188
27237,1020.3978271484375
27317,1020.414794921875
27397,1020.4156494140625
27436,1020.4027099609375
27517,1020.4220581054688
27597,1020.4249877929688
27636,1020.4224853515625
27716,1020.4052734375
27796,1020.3992919921875
27838,1020.4077758789062
27917,1020.4258422851562
27997,1020.4176025390625
28036,1020.4154663085938
28117,1020.4373168945312
28202,1020.4090576171875
28237,1020.4273681640625
28317,1020.4462890625
28399,1020.4088745117188
28436,1020.3988647460938
28517,1020.4057006835938
28599,1020.4356689453125
28637,1020.4307250976562
28717,1020.41015625
28796,1020.4301147460938
28837,1020.3882446289062
28916,1020.431396484375
28996,1020.3975830078125
29036,1020.4046020507812
29118,1020.42333984375
29196,1020.4152221679688
29236,1020.4224853515625
29317,1020.40673828125
29396,1020.4114379882812
29436,1020.416748046875
29516,1020.4192504882812
29596,1020.3982543945312
29636,1020.3973999023438
29716,1020.4014282226562
29796,1020.41162109375
29836,1020.3946533203125
29916,1020.4201049804688
29997,1020.4046020507812
30036,1020.401611328125
30117,1020.4097290039062
30197,1020.4088745117188
30236,1020.4044189453125
30317,1020.4014282226562
30396,1020.4235229492188
30436,1020.3916625976562
30517,1020.40185546875
30598,1020.4071655273438
30639,1020.4114379882812
30717,1020.441162109375
30796,1020.4352416992188
30837,1020.395263671875
30916,1020.4154663085938
30996,1020.4241333007812
31036,1020.4077758789062
31116,1020.4352416992188
31196,1020.4146118164062
31236,1020.4014282226562
31316,1020.4130859375
31396,1020.4152221679688
31437,1020.4212036132812
31517,1020.3963012695312
31597,1020.4156494140625
31637,1020.4345703125
31717,1020.4069213867188
31796,1020.4209594726562
31836,1020.4222412109375
31916,1020.40185546875
31996,1020.4292602539062
32037,1020.4220581054688
32117,1020.4173583984375
32197,1020.413330078125
32236,1020.4031372070312
32317,1020.4090576171875
32397,1020.4126586914062
32436,1020.4031372070312
32518,1020.419921875
32598,1020.4169311523438
32637,1020.4120483398438
32717,1020.4188232421875
32797,1020.4409790039062
32836,1020.4156494140625
32917,1020.42626953125
32998,1020.4080200195312
33037,1020.4269409179688
33116,1020.4269409179688
33201,1020.4237670898438
33237,1020.4183959960938
33316,1020.4135131835938
33397,1020.4194946289062
33437,1020.416748046875
33517,1020.4130859375
33598,1020.431396484375
33637,1020.4298706054688
33719,1020.4451904296875
33797,1020.4421997070312
33836,1020.4298706054688
33917,1020.4077758789062
33997,1020.4364624023438
34036,1020.4500732421875
34119,1020.4065551757812
34196,1020.4226684570312
34236,1020.393798828125
34316,1020.3742065429688
34397,1020.4286499023438
34436,1020.432861328125
34519,1020.424560546875
34597,1020.4073486328125
34636,1020.405029296875
34716,1020.4156494140625
34797,1020.4048461914062
34836,1020.4183959960938
34917,1020.4041748046875
34996,1020.4163208007812
35037,1020.4114379882812
35117,1020.4097290039062
35197,1020.4110107421875
35237,1020.4111938476562
35317,1020.4122924804688
35396,1020.4039916992188
35437,1020.4014282226562
35517,1020.39208984375
35597,1020.3897094726562
35639,1020.3863525390625
35717,1020.4277954101562
35796,1020.3842163085938
35837,1020.39697265625
35917,1020.3995361328125
35997,1020.4057006835938
36037,1020.4271240234375
36117,1020.4027099609375
36196,1020.4039916992188
36236,1020.4275512695312
36317,1020.3912353515625
36397,1020.4135131835938
36437,1020.3991088867188
36516,1020.41015625
36597,1020.4186401367188
36636,1020.408203125
36716,1020.4014282226562
36797,1020.4020385742188
36836,1020.3991088867188
36917,1020.409912109375
36997,1020.3746337890625
37036,1020.4122924804688
37117,1020.4039916992188
37197,1020.414794921875
37236,1020.3856811523438
37316,1020.4103393554688
37397,1020.4031372070312
37436,1020.38525390625
37517,1020.405029296875
37597,1020.3856811523438
37636,1020.3922729492188
37717,1020.3944091796875
37797,1020.4010009765625
37836,1020.3878173828125
37916,1020.3825073242188
37997,1020.408203125
38036,1020.3837890625
38118,1020.39208984375
38201,1020.3942260742188
38237,1020.3909912109375
38319,1020.3956909179688
38399,1020.419921875
38437,1020.3827514648438
38516,1020.4188232421875
38597,1020.3948364257812
38637,1020.385498046875
38719,1020.3873901367188
38797,1020.40673828125
38836,1020.3929443359375
38918,1020.39013671875
38997,1020.408203125
39037,1020.400146484375
39118,1020.4176025390625
39197,1020.3882446289062
39237,1020.4024658203125
39322,1020.3954467773438
39397,1020.4124755859375
39436,1020.4014282226562
39519,1020.4063110351562
39597,1020.403564453125
39636,1020.4111938476562
39717,1020.4028930664062
39797,1020.419921875
39836,1020.4173583984375
39917,1020.3978271484375
39998,1020.4031372070312
40036,1020.3956909179688
40117,1020.4024658203125
40197,1020.3859252929688
40237,1020.3842163085938
40317,1020.3995361328125
40397,1020.3652954101562
40436,1020.3646850585938
40516,1020.3561401367188
40597,1020.3610229492188
40638,1020.3499755859375
40717,1020.3580932617188
40797,1020.3548583984375
40837,1020.3532104492188
40917,1020.3533935546875
40997,1020.3285522460938
41037,1020.3255615234375
41117,1020.3093872070312
41197,1020.29541015625
41236,1020.28857421875
41318,1020.31005859375
41397,1020.2713623046875
41436,1020.2760620117188
41517,1020.2680053710938
41597,1020.2490844726562
41638,1020.2299194335938
41717,1020.2227172851562
41797,1020.2479858398438
41836,1020.2040405273438
41917,1020.1646728515625
41998,1020.1810913085938
42036,1020.1478881835938
42118,1020.1544799804688
42196,1020.1597900390625
42236,1020.133056640625
42317,1020.0905151367188
42397,1020.0860595703125
42437,1020.0560913085938
42517,1020.0554809570312
42597,1020.0437622070312
42637,1020.0282592773438
